a,dest,poe,mgra_entry,mgra_return,poe_taz
934,986,0,7090,7090,1
935,992,0,7090,7090,1
936,989,0,7090,7090,1
937,990,0,7090,7090,1
938,963,0,7090,7090,1
939,948,0,7090,7090,1
940,988,0,7090,7090,1
941,993,0,7090,7090,1
942,994,0,7090,7090,1
943,956,0,7090,7090,1
944,995,0,7090,7090,1
945,996,0,7090,7090,1
946,1010,0,7090,7090,1
947,1000,0,7090,7090,1
948,998,0,7090,7090,1
949,999,0,7090,7090,1
950,1001,0,7090,7090,1
951,1002,0,7090,7090,1
952,1003,0,7090,7090,1
953,1004,0,7090,7090,1
954,1005,0,7090,7090,1
955,1006,0,7090,7090,1
956,1007,0,7090,7090,1
957,980,0,7090,7090,1
958,1015,0,7090,7090,1
959,1009,0,7090,7090,1
960,1011,0,7090,7090,1
961,1013,0,7090,7090,1
962,1012,0,7090,7090,1
963,1014,0,7090,7090,1
964,1016,0,7090,7090,1
965,991,0,7090,7090,1
966,967,0,7090,7090,1
967,1019,0,7090,7090,1
968,1018,0,7090,7090,1
969,1020,0,7090,7090,1
970,1021,0,7090,7090,1
971,1022,0,7090,7090,1
972,1042,0,7090,7090,1
973,1026,0,7090,7090,1
974,1025,0,7090,7090,1
975,1024,0,7090,7090,1
976,1027,0,7090,7090,1
977,1034,0,7090,7090,1
978,1028,0,7090,7090,1
979,1031,0,7090,7090,1
980,1029,0,7090,7090,1
981,1051,0,7090,7090,1
982,1033,0,7090,7090,1
983,1030,0,7090,7090,1
984,1032,0,7090,7090,1
985,1035,0,7090,7090,1
986,1036,0,7090,7090,1
987,1037,0,7090,7090,1
