coefficient_name,value,constrain,purpose,mode,auto_suff,model_counts,target_counts,difference,percent_diff,coef_change,new_value,converged
coef_age65pl_sr3p_disc,-1.11463,F,,,,,,,,,-1.11463,True
coef_age65pl_nmot_disc,-1.69155,F,,,,,,,,,-1.69155,True
coef_age65pl_tran_disc,-2.49829,F,,,,,,,,,-2.49829,True
coef_female_sr2_disc,0.261989,F,,,,,,,,,0.261989,True
coef_female_sr3p_disc,0.273571,F,,,,,,,,,0.273571,True
coef_female_tran_disc,-0.23309,F,,,,,,,,,-0.23309,True
coef_female_nmot_disc,0.0,F,,,,,,,,,0.0,True
coef_beachParkBikeConstant,0.7,F,,,,,,,,,0.7,True
coef_ageund16_bike_disc,0.0,F,,,,,,,,,0.0,True
coef_age1624_bike_disc,0.0,F,,,,,,,,,0.0,True
coef_age4155_bike_disc,-0.77985,F,,,,,,,,,-0.77985,True
coef_age5664_bike_disc,-0.68642,F,,,,,,,,,-0.68642,True
coef_age65pl_bike_disc,-1.65192,F,,,,,,,,,-1.65192,True
coef_female_bike_disc,-1.27322,F,,,,,,,,,-1.27322,True
coef_inc100plus_bike_disc,0.684139,F,,,,,,,,,0.684139,True
coef_LUnorm_bike_disc,0.088817,F,,,,,,,,,0.088817,True
coef_oMlCoast_bike_disc,-1.51486,F,,,,,,,,,-1.51486,True
coef_oMlCoast2p_bike_disc,1.424081,F,,,,,,,,,1.424081,True
coef_oMlCoast5p_bike_disc,0.084867,F,,,,,,,,,0.084867,True
coef_ageund16_walk_disc,2.247434,F,,,,,,,,,2.247434,True
coef_age1624_walk_disc,1.417757,F,,,,,,,,,1.417757,True
coef_age4155_walk_disc,-0.50719,F,,,,,,,,,-0.50719,True
coef_age5664_walk_disc,-0.60023,F,,,,,,,,,-0.60023,True
coef_age65pl_walk_disc,-0.92046,F,,,,,,,,,-0.92046,True
coef_female_walk_disc,0.0,F,,,,,,,,,0.0,True
coef_inc60100_walk_disc,-0.23748,F,,,,,,,,,-0.23748,True
coef_LUnorm_walk_disc,0.467728,F,,,,,,,,,0.467728,True
coef_dEmpNorm_walk_disc,0.127776,F,,,,,,,,,0.127776,True
coef_hhsize2_sr2_disc,0.352972249,F,,,,,,,,,0.352972249,True
coef_hhsize2_sr3p_disc,-0.936579922,F,,,,,,,,,-0.936579922,True
coef_hhsize3_sr2_disc,0.412665036,F,,,,,,,,,0.412665036,True
coef_hhsize3_sr3p_disc,-0.798959661,F,,,,,,,,,-0.798959661,True
coef_hhsize4p_sr2_disc,0.761157155,F,,,,,,,,,0.761157155,True
