"tempid","freq1","freq2","freq3","freq4","freq5","freq6","freq7","freq8","freq9","freq10","freq11","freq12","freq13","freq14","freq15","freq16","freq17","freq18","freq19","freq20","freq21","freq22","freq23","freq24","freq25","freq26","freq27","freq28","freq29","freq30","freq31","freq32","freq33","freq34","freq35","freq36","freq37","freq38","freq39","freq40","TOURPURP","IS_INBOUND","PREV_ORIG_DEP_BIN","TRIP_ID","bin1","bin2","bin3","bin4","bin5","bin6","bin7","bin8","bin9","total"
60403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,792.1569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,40,3,0,0,0,0,0,0,0,0,0,792.1569
60404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,40,4,0,0,0,0,0,0,0,0,0,0
70011,657.68134039088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,1,657.68134039088,657.68134039088,657.68134039088,657.68134039088,657.68134039088,657.68134039088,657.68134039088,657.68134039088,657.68134039088,657.68134039088
70012,237.9924,212.162613724213,0,0,0,0,0,0,0,0,284.8284,0,0,34.6072,0,0,0,0,0,65.1258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,2,237.9924,450.155013724213,450.155013724213,450.155013724213,450.155013724213,450.155013724213,450.155013724213,450.155013724213,834.716413724213,834.716413724213
70013,237.9924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,3,237.9924,237.9924,237.9924,237.9924,237.9924,237.9924,237.9924,237.9924,237.9924,237.9924
70014,237.9924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,4,237.9924,237.9924,237.9924,237.9924,237.9924,237.9924,237.9924,237.9924,237.9924,237.9924
70021,0,303.256083615798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,1,303.256083615798,303.256083615798,303.256083615798,303.256083615798,303.256083615798,303.256083615798,303.256083615798,303.256083615798,303.256083615798,303.256083615798
70022,0,0,0,0,0,0,0,117.93888,0,0,313.5536,0,161.4054,65.0568,0,0,0,0,0,65.1258,0,0,0,0,0,0,0,39.05172,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,2,0,0,0,0,0,0,117.93888,117.93888,762.1322,762.1322
70023,0,0,212.162613724213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,3,0,212.162613724213,212.162613724213,212.162613724213,212.162613724213,212.162613724213,212.162613724213,212.162613724213,212.162613724213,212.162613724213
70024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,4,0,0,0,0,0,0,0,0,0,0
70031,0,0,933.70969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,1,933.70969,933.70969,933.70969,933.70969,933.70969,933.70969,933.70969,933.70969,933.70969,933.70969
70032,0,0,0,559.471,65.1776,549.70428,39.4054,131.4568,0,0,627.1072,0,0,0,1125.3965,0,0,0,0,0,0,0,185.68296,0,0,65.4561,0,0,0,0,0,0,0,0,0,19.8024,0,0,0,0,7,0,3,2,0,559.471,624.6486,1174.35288,1213.75828,1345.21508,1345.21508,1345.21508,3368.66024,3368.66024
70033,0,0,0,0,0,0,0,0,26.29136,0,0,0,0,0,570.4686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,3,0,0,0,0,0,0,26.29136,26.29136,596.75996,596.75996
70034,0,0,0,0,0,0,0,0,212.162613724213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,4,0,0,0,0,0,0,212.162613724213,212.162613724213,212.162613724213,212.162613724213
70041,0,0,0,523.67062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,1,523.67062,523.67062,523.67062,523.67062,523.67062,523.67062,523.67062,523.67062,523.67062,523.67062
70042,0,0,0,40.313,536.688,19.6621,0,70.3576,124.4724,0,414.942,0,195.1704,0,0,0,0,276.0805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,2,40.313,577.001,596.6631,596.6631,667.0207,791.4931,791.4931,1206.4351,1677.686,1677.686
