"tempid","TOURPURP","IS_INBOUND","INTERVAL","TRIP_ID","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","p13","p14","p15","p16","p17","p18","p19","p20","p21","p22","p23","p24","p25","p26","p27","p28","p29","p30","p31","p32","p33","p34","p35","p36","p37","p38","p39","p40","tempid1"
" 10131"," 1","0","13","1","0.0000","0.0000","0.000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.0000","0.00000","0.0000","0.0000","0.0000","0.00000","0.0000","0.0000","0.00000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.00000","0.0000","0.000"," 101"
" 10132"," 1","0","13","2","0.0000","0.0000","0.000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.2755","0.2172","0.2447","0.0405","0.0587","0.16342","0.0000","0.0000","0.0000","0.00000","0.0000","0.0000","0.00000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.00000","0.0000","0.000"," 102"
" 10133"," 1","0","13","3","0.0000","0.0000","0.000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.1875","0.5582","0.1713","0.0034","0.0482","0.03148","0.0000","0.0000","0.0000","0.00000","0.0000","0.0000","0.00000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.00000","0.0000","0.000"," 103"
" 10134"," 1","0","13","4","0.0000","0.0000","0.000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0692","0.2791","0.1016","0.0495","0.0527","0.44802","0.0000","0.0000","0.0000","0.00000","0.0000","0.0000","0.00000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.00000","0.0000","0.000"," 104"
" 10141"," 1","0","14","1","0.0000","0.0000","0.000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.0000","0.00000","0.0000","0.0000","0.0000","0.00000","0.0000","0.0000","0.00000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.00000","0.0000","0.000"," 101"
" 10142"," 1","0","14","2","0.0000","0.0000","0.000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.1522","0.3110","0.1778","0.1257","0.21034","0.0230","0.0000","0.0000","0.00000","0.0000","0.0000","0.00000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.00000","0.0000","0.000"," 102"
" 10143"," 1","0","14","3","0.0000","0.0000","0.000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.3515","0.2990","0.1473","0.0190","0.01940","0.1639","0.0000","0.0000","0.00000","0.0000","0.0000","0.00000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.00000","0.0000","0.000"," 103"
" 10144"," 1","0","14","4","0.0000","0.0000","0.000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0495","0.2348","0.0151","0.0161","0.28554","0.3990","0.0000","0.0000","0.00000","0.0000","0.0000","0.00000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.00000","0.0000","0.000"," 104"
" 10151"," 1","0","15","1","0.0000","0.0000","0.000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1.0000","0.0000","0.0000","0.00000","0.0000","0.0000","0.0000","0.00000","0.0000","0.0000","0.00000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.00000","0.0000","0.000"," 101"
" 10152"," 1","0","15","2","0.0000","0.0000","0.000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.2955","0.1554","0.2227","0.03055","0.0060","0.2899","0.0000","0.00000","0.0000","0.0000","0.00000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.00000","0.0000","0.000"," 102"
" 10153"," 1","0","15","3","0.0000","0.0000","0.000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0712","0.4457","0.0994","0.03516","0.2572","0.0915","0.0000","0.00000","0.0000","0.0000","0.00000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.00000","0.0000","0.000"," 103"
" 10154"," 1","0","15","4","0.0000","0.0000","0.000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0792","0.4580","0.0687","0.20676","0.1326","0.0547","0.0000","0.00000","0.0000","0.0000","0.00000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.00000","0.0000","0.000"," 104"
