coefficient_name,value,constrain
coef_calib_zeroautohhindivtou_WALK_MIX_work,-0.2780410070913216,F
coef_calib_zeroautohhindivtou_PNR_LOC_work,-999.0,F
coef_calib_zeroautohhindivtou_PNR_PRM_work,-999.0,F
coef_calib_zeroautohhindivtou_PNR_MIX_work,-999.0,F
coef_calib_zeroautohhindivtou_KNR_LOC_work,-1.5291044554293602,F
coef_calib_zeroautohhindivtou_KNR_PRM_work,-2.687220033114944,F
coef_calib_zeroautohhindivtou_KNR_MIX_work,-3.5659863826904004,F
coef_calib_zeroautohhindivtou_TNC_LOC_work,-919.0,F
coef_calib_zeroautohhindivtou_TNC_PRM_work,-909.0,F
coef_calib_zeroautohhindivtou_TNC_MIX_work,-919.0,F
coef_calib_zeroautohhindivtou_TAXI_work,-1.9627,F
coef_calib_zeroautohhindivtou_TNC_SINGLE_work,1.1142168557016618,F
coef_calib_zeroautohhindivtou_TNC_SHARED_work,-5.9627,F
coef_calib_autodeficienthhind_SHARED2_work,-2.8477533160723913,F
coef_calib_autodeficienthhind_SHARED3_work,-2.5878111573332903,F
coef_calib_autodeficienthhind_WALK_work,-0.6489406595648249,F
coef_calib_autodeficienthhind_BIKE_work,-7.040794443298657,F
coef_calib_autodeficienthhind_WALK_LOC_work,-2.8001500869350106,F
coef_calib_autodeficienthhind_WALK_PRM_work,-3.1155535473175573,F
coef_calib_autodeficienthhind_WALK_MIX_work,-3.8265011030753615,F
coef_calib_autodeficienthhind_PNR_LOC_work,-8.787608537243495,F
coef_calib_autodeficienthhind_PNR_PRM_work,-7.961152303677633,F
coef_calib_autodeficienthhind_PNR_MIX_work,-8.787608537243495,F
coef_calib_autodeficienthhind_KNR_LOC_work,-4.875174855050231,F
coef_calib_autodeficienthhind_KNR_PRM_work,-6.65447079012623,F
coef_calib_autodeficienthhind_KNR_MIX_work,-5.494514930876823,F
coef_calib_autodeficienthhind_TNC_LOC_work,-6.664830824919799,F
coef_calib_autodeficienthhind_TNC_PRM_work,-6.664830824919799,F
coef_calib_autodeficienthhind_TNC_MIX_work,-6.664830824919799,F
coef_calib_autodeficienthhind_TAXI_work,-9.6667,F
coef_calib_autodeficienthhind_TNC_SINGLE_work,-9.364061706,F
coef_calib_autodeficienthhind_TNC_SHARED_work,-9.6667,F
coef_calib_autosufficienthhin_SHARED2_work,-2.621306584450577,F
coef_calib_autosufficienthhin_SHARED3_work,-2.302972872840689,F
coef_calib_autosufficienthhin_WALK_work,-3.868807014483816,F
coef_calib_autosufficienthhin_BIKE_work,-4.432456357548058,F
coef_calib_autosufficienthhin_WALK_LOC_work,-5.105406760742074,F
coef_calib_autosufficienthhin_WALK_PRM_work,-5.608781501482321,F
coef_calib_autosufficienthhin_WALK_MIX_work,-6.158879712207756,F
coef_calib_autosufficienthhin_PNR_LOC_work,-7.741199485361963,F
coef_calib_autosufficienthhin_PNR_PRM_work,-9.3843346752767,F
coef_calib_autosufficienthhin_PNR_MIX_work,-9.976891264778644,F
coef_calib_autosufficienthhin_KNR_LOC_work,-7.284061332989043,F
coef_calib_autosufficienthhin_KNR_PRM_work,-8.921972196443715,F
coef_calib_autosufficienthhin_KNR_MIX_work,-8.97422383993088,F
coef_calib_autosufficienthhin_TNC_LOC_work,-10.69754986,F
coef_calib_autosufficienthhin_TNC_PRM_work,-10.69754986,F
coef_calib_autosufficienthhin_TNC_MIX_work,-10.69754986,F
coef_calib_autosufficienthhin_TAXI_work,-9.9013,F
coef_calib_autosufficienthhin_TNC_SINGLE_work,-12.481513716125642,F
coef_calib_autosufficienthhin_TNC_SHARED_work,-11.9013,F
#coef_calib_zeroautohhindivtou_DRIVEALONE_univ,-19.7064,F
coef_calib_zeroautohhindivtou_SHARED2_univ,1.2594435769523057,F
coef_calib_zeroautohhindivtou_SHARED3_univ,-0.07380495703213452,F
coef_calib_zeroautohhindivtou_WALK_univ,-2.232128404876012,F
coef_calib_zeroautohhindivtou_BIKE_univ,-0.09073273858320285,F
coef_calib_zeroautohhindivtou_WALK_LOC_univ,-1.4835965239890156,F
coef_calib_zeroautohhindivtou_WALK_PRM_univ,-0.2714781939754972,F
coef_calib_zeroautohhindivtou_WALK_MIX_univ,-1.1984041497518692,F
coef_calib_zeroautohhindivtou_PNR_LOC_univ,-2.743,F
coef_calib_zeroautohhindivtou_PNR_PRM_univ,-2.743,F
coef_calib_zeroautohhindivtou_PNR_MIX_univ,-2.743,F
coef_calib_zeroautohhindivtou_KNR_LOC_univ,-16.4728,F
coef_calib_zeroautohhindivtou_KNR_PRM_univ,-4.505847860307174,F
coef_calib_zeroautohhindivtou_KNR_MIX_univ,-16.4728,F
coef_calib_zeroautohhindivtou_TNC_LOC_univ,-999.0,F
coef_calib_zeroautohhindivtou_TNC_PRM_univ,-999.0,F
coef_calib_zeroautohhindivtou_TNC_MIX_univ,-999.0,F
coef_calib_zeroautohhindivtou_TAXI_univ,-999.0,F
coef_calib_zeroautohhindivtou_TNC_SINGLE_univ,-999.0,F
coef_calib_zeroautohhindivtou_TNC_SHARED_univ,-999.0,F
coef_calib_autodeficienthhind_SHARED2_univ,-3.1038328663431325,F
coef_calib_autodeficienthhind_SHARED3_univ,-2.025199147886785,F
coef_calib_autodeficienthhind_WALK_univ,1.7781932794695363,F
coef_calib_autodeficienthhind_BIKE_univ,-5.618019092314136,F
coef_calib_autodeficienthhind_WALK_LOC_univ,-1.2744368792513765,F
coef_calib_autodeficienthhind_WALK_PRM_univ,0.32017594525953796,F
coef_calib_autodeficienthhind_WALK_MIX_univ,-1.986710613897039,F
coef_calib_autodeficienthhind_PNR_LOC_univ,-5.849745055851145,F
coef_calib_autodeficienthhind_PNR_PRM_univ,-5.317124772257734,F
coef_calib_autodeficienthhind_PNR_MIX_univ,-5.849745055851145,F
coef_calib_autodeficienthhind_KNR_LOC_univ,-4.034587693976807,F
coef_calib_autodeficienthhind_KNR_PRM_univ,-4.3508938314456405,F
coef_calib_autodeficienthhind_KNR_MIX_univ,-4.924023338547786,F
coef_calib_autodeficienthhind_TNC_LOC_univ,-999.0,F
coef_calib_autodeficienthhind_TNC_PRM_univ,-999.0,F
coef_calib_autodeficienthhind_TNC_MIX_univ,-999.0,F
coef_calib_autodeficienthhind_TAXI_univ,-11.6732,F
coef_calib_autodeficienthhind_TNC_SINGLE_univ,-3.0551252725936675,F
coef_calib_autodeficienthhind_TNC_SHARED_univ,-11.6732,F
coef_calib_autosufficienthhin_SHARED2_univ,-2.7879346708517723,F
coef_calib_autosufficienthhin_SHARED3_univ,-2.5275352175072774,F
