MAZ,TAZ
1742,1179
1743,747
1744,2689
1745,4314
1746,2530
1747,2000
1748,3708
1749,3878
1750,4694
1751,2124
1752,3783
1753,2079
1754,2637
1755,2535
1756,3993
1757,4471
1758,2875
1759,3324
1760,2410
1761,3055
1762,2664
1763,2882
1764,2861
1765,3901
1766,3265
1767,2676
1768,2658
1769,625
1770,1814
1771,4275
1772,2616
1773,3389
1774,39
1775,1627
1776,2130
1777,3437
1778,4335
1779,2964
1780,2335
1781,281
1782,310
1783,2344
1784,2177
1785,474
1786,4314
1787,3839
1788,1785
1789,1511
1790,4021
1791,2206
1792,2590
1793,1854
1794,22
1795,4511
1796,3434
1797,820
1798,2762
1799,3727
1800,4286
1801,854
1802,1726
1803,2353
1804,729
1805,29
1806,926
1807,2689
1808,3462
1809,3272
1810,3350
1811,1293
1812,1731
1813,2659
1814,1744
1815,1295
1816,3956
1817,278
1818,2252
1819,2095
1820,4682
1821,3603
1822,1159
1823,1229
1824,2240
1825,1572
1826,2295
1827,570
1828,2375
1829,878
1830,2875
1831,2718
1832,4285
1833,3603
1834,27
1835,3135
1836,3892
1837,677
1838,677
1839,2935
1840,2628
1841,2145
1842,1860
1843,4085
1844,747
1845,769
1846,2032
1847,802
1848,1779
1849,95
1850,2479
1851,2450
1852,1601
1853,793
1854,2602
1855,558
1856,622
1857,4695
1858,4285
1859,900
1860,554
1861,1871
1862,1839
1863,2637
1864,4141
1865,36
1866,3496
1867,2476
1868,3821
1869,2697
1870,1781
1871,2554
1872,4322
1873,2313
1874,2057
1875,1327
1876,1506
1877,52
1878,617
1879,3715
1880,610
1881,2351
1882,1221
1883,2338
1884,1839
1885,1555
1886,608
1887,2363
1888,4141
1889,661
1890,1238
1891,3780
1892,2764
1893,3537
1894,1312
1895,2412
1896,63
1897,1667
1898,673
1899,2530
1900,1810
1901,1970
1902,2312
1903,4260
1904,746
1905,4146
1906,3263
1907,2659
1908,42
1909,2247
1910,3146
1911,3920
1912,2472
1913,2143
1914,1495
1915,851
1916,2208
1917,4070
1918,2637
1919,2649
1920,1777
1921,2280
1922,271
1923,729
1924,3307
1925,2612
1926,2483
1927,2713
1928,549
1929,625
1930,2346
1931,2326
1932,871
1933,2389
1934,3804
1935,3606
1936,1667
1937,963
1938,1572
1939,1842
1940,866
1941,4218
1942,522
1943,3799
1944,2465
1945,2206
1946,3389
1947,1527
1948,2612
1949,1431
1950,4657
1951,2207
1952,2682
1953,1863
1954,2897
1955,2329
1956,852
1957,1179
1958,4698
1959,888
1960,2689
1961,4047
1962,619
1963,2295
1964,3549
1965,1986
1966,33
1967,1757
1968,3268
1969,2313
1970,2535
1971,4706
1972,1574
1973,1632
1974,1821
1975,1690
1976,2041
1977,3313
1978,39
1979,895
1980,963
1981,2144
1982,2351
1983,80
1984,2277
1985,2126
1986,889
1987,529
1988,729
1989,1470
1990,3058
1991,1849
1992,1969
1993,4510
1994,4576
1995,1023
1996,4019
1997,1837
1998,1702
1999,959
2000,1403
2001,728
2002,1624
2003,2439
2004,1068
2005,1431
2006,1850
2007,2908
2008,2010
2009,4260
2010,2630
2011,3886
2012,2513
2013,4224
2014,2601
2015,3592
2016,27
2017,4685
2018,3796
2019,774
2020,975
2021,2235
2022,983
2023,3355
2024,2215
2025,28
2026,38
2027,2841
2028,3414
2029,3243
2030,2286
2031,2202
2032,3707
2033,2979
2034,3916
2035,3437
2036,2630
2037,1853
2038,912
2039,1831
2040,4376
2041,4173
2042,1526
2043,43
2044,1455
2045,529
2046,2290
2047,633
2048,371
2049,1987
2050,878
2051,608
2052,661
2053,2607
2054,2251
2055,3210
2056,4673
2057,2557
2058,3610
2059,1713
2060,646
2061,4311
2062,3481
2063,4070
2064,1869
2065,4163
2066,1923
2067,717
2068,2686
2069,2414
2070,2544
2071,3237
2072,843
2073,2350
2074,4265
2075,469
2076,911
2077,1527
2078,1781
2079,2416
2080,2287
2081,780
2082,3969
2083,2391
2084,1932
2085,1811
2086,3474
2087,4277
2088,2882
2089,3602
2090,3958
2091,2345
2092,1536
2093,1028
2094,422
2095,866
2096,533
2097,3639
2098,2616
2099,2120
2100,825
2101,2295
2102,3058
2103,2788
2104,1912
2105,2559
2106,2511
2107,2759
2108,3619
2109,748
2110,614
2111,1578
2112,920
2113,4112
2114,3444
2115,982
2116,2069
2117,1878
2118,4080
2119,1985
2120,1578
2121,1572
2122,3998
2123,4727
2124,2694
2125,3911
2126,2642
2127,2763
2128,2410
2129,2311
2130,963
2131,877
2132,4086
2133,2286
2134,1778
2135,420
2136,4620
2137,3247
2138,2535
2139,1179
2140,641
2141,685
2142,2926
2143,36
2144,825
2145,2841
2146,2210
2147,2655
2148,2169
2149,29
2150,3927
2151,1781
2152,920
2153,3685
2154,1728
2155,1757
2156,4183
2157,2339
2158,1550
2159,2979
2160,2535
2161,388
2162,388
2163,311
2164,4070
2165,4070
2166,889
2167,1486
2168,3652
2169,3754
2170,1323
2171,1746
2172,3767
2173,1527
2174,1415
2175,2511
2176,2572
2177,1574
2178,2250
2179,3520
2180,4199
2181,4698
2182,3920
2183,812
2184,1925
2185,1411
2186,518
2187,1506
2188,3400
2189,1820
2190,3891
2191,2280
2192,3460
2193,2603
2194,2875
2195,758
2196,1413
2197,1076
2198,3575
2199,3651
2200,2472
2201,4211
2202,4314
2203,1468
2204,641
2205,800
2206,2359
2207,2395
2208,812
2209,2731
2210,3314
2211,2313
2212,2394
2213,661
2214,622
2215,3425
2216,2590
2217,1633
2218,1925
2219,271
2220,1312
2221,4093
2222,4372
2223,371
2224,367
2225,1626
2226,4673
2227,2581
2228,3534
2229,2350
2230,1180
2231,356
2232,3481
2233,2375
2234,102
2235,3983
2236,2724
2237,2472
2238,1858
2239,582
2240,692
2241,1912
2242,549
2243,4694
2244,4670
2245,4170
2246,1863
2247,1453
2248,1018
2249,3752
2250,1899
2251,2034
2252,1854
2253,2038
2254,2529
2255,948
2256,747
2257,1455
2258,2572
2259,3886
2260,3899
2261,1453
2262,1623
2263,676
2264,2416
2265,825
2266,2256
2267,3462
2268,3062
2269,4098
2270,3359
2271,961
2272,903
2273,4501
2274,747
2275,1729
2276,3272
2277,2608
2278,1956
2279,1863
2280,2040
2281,48
2282,879
2283,1506
2284,2776
2285,1404
2286,422
2287,685
2288,1618
2289,1620
2290,3846
2291,3434
2292,2282
2293,2284
2294,1637
2295,4190
2296,4324
2297,3001
2298,2105
2299,343
2300,2389
2301,269
2302,482
2303,3091
2304,2206
2305,3774
2306,55
2307,1136
2308,2640
2309,1781
2310,4409
2311,4156
2312,754
2313,3903
2314,3916
2315,4311
2316,851
2317,631
2318,3799
2319,1633
2320,2139
2321,1834
2322,3324
2323,4065
2324,1813
2325,1382
2326,3587
2327,1508
2328,725
2329,742
2330,4262
2331,747
2332,2006
2333,18
2334,4565
2335,4026
2336,474
2337,388
2338,2348
2339,2305
2340,1620
2341,2408
2342,608
2343,692
2344,677
2345,3757
2346,1817
2347,1689
2348,3272
2349,2151
2350,3461
2351,4682
2352,3434
2353,2821
2354,4075
2355,4697
2356,1837
2357,1658
2358,959
2359,240
2360,2776
2361,2374
2362,2154
2363,1667
2364,1667
2365,4315
2366,3715
2367,2718
2368,27
2369,557
2370,576
2371,4211
2372,1513
2373,1448
2374,818
2375,588
2376,2430
2377,2348
2378,2408
2379,2763
2380,2988
2381,3569
2382,3663
2383,2286
2384,2375
2385,2359
2386,4343
2387,3920
2388,1517
2389,2078
2390,1781
2391,2037
2392,2233
2393,3352
2394,48
2395,48
2396,2144
2397,2346
2398,1486
2399,1290
2400,565
2401,2841
2402,1571
2403,3057
2404,2875
2405,2505
2406,1817
2407,3297
2408,2511
2409,820
2410,2554
2411,711
2412,728
2413,2737
2414,737
2415,371
2416,2813
2417,4285
2418,2554
2419,4260
2420,146
2421,857
2422,2689
2423,730
2424,43
2425,2725
2426,3920
2427,3676
2428,2674
2429,4314
2430,959
2431,1618
2432,1837
2433,2353
2434,3029
2435,3076
2436,3570
2437,2765
2438,2768
2439,3655
2440,2704
2441,3736
2442,4275
2443,1508
2444,4013
2445,2610
2446,3435
2447,2075
2448,3867
2449,625
2450,2757
2451,935
2452,961
2453,367
2454,895
2455,3626
2456,3901
2457,2095
2458,843
2459,375
2460,556
2461,3069
2462,941
2463,1594
2464,4370
2465,38
2466,4653
2467,4166
2468,3481
2469,2953
2470,2872
2471,2689
2472,2565
2473,4736
2474,4697
2475,1644
2476,1447
2477,1808
2478,4292
2479,2888
2480,2774
2481,1442
2482,2541
2483,4313
2484,1797
2485,2704
2486,2205
2487,936
2488,3911
2489,3193
2490,2309
2491,1446
2492,725
2493,615
2494,1074
2495,1136
2496,1834
2497,3708
2498,2260
2499,1382
2500,4670
2501,2903
2502,2562
2503,613
2504,4067
2505,4651
2506,2589
2507,2574
