distbin,District,purpose,value
24,5: East Suburban,University,488.0
24,6: North County West,University,260.0
24,7: North County East,University,141.0
24,8: East County,University,29.0
25,1: Downtown,University,44.0
25,2: Central,University,762.0
25,3: North City,University,523.0
25,4: South Suburban,University,291.0
25,5: East Suburban,University,582.0
25,6: North County West,University,429.0
25,7: North County East,University,626.0
25,8: East County,University,101.0
26,1: Downtown,University,37.0
26,2: Central,University,527.0
26,3: North City,University,633.0
26,4: South Suburban,University,334.0
26,5: East Suburban,University,493.0
26,6: North County West,University,720.0
26,7: North County East,University,411.0
26,8: East County,University,30.0
27,1: Downtown,University,28.0
27,2: Central,University,566.0
27,3: North City,University,846.0
27,4: South Suburban,University,325.0
27,5: East Suburban,University,331.0
27,6: North County West,University,256.0
27,7: North County East,University,224.0
27,8: East County,University,19.0
28,1: Downtown,University,17.0
28,2: Central,University,651.0
28,3: North City,University,506.0
28,4: South Suburban,University,264.0
28,5: East Suburban,University,401.0
28,6: North County West,University,236.0
28,7: North County East,University,185.0
28,8: East County,University,13.0
29,1: Downtown,University,21.0
29,2: Central,University,422.0
29,3: North City,University,547.0
29,4: South Suburban,University,284.0
29,5: East Suburban,University,510.0
29,6: North County West,University,292.0
29,7: North County East,University,561.0
29,8: East County,University,31.0
30,1: Downtown,University,22.0
30,2: Central,University,378.0
30,3: North City,University,704.0
30,4: South Suburban,University,295.0
30,5: East Suburban,University,349.0
30,6: North County West,University,268.0
30,7: North County East,University,664.0
30,8: East County,University,15.0
31,1: Downtown,University,30.0
31,2: Central,University,288.0
31,3: North City,University,465.0
31,4: South Suburban,University,294.0
31,5: East Suburban,University,490.0
31,6: North County West,University,489.0
31,7: North County East,University,608.0
31,8: East County,University,19.0
32,1: Downtown,University,15.0
32,2: Central,University,687.0
32,3: North City,University,647.0
32,4: South Suburban,University,452.0
32,5: East Suburban,University,566.0
32,6: North County West,University,442.0
32,7: North County East,University,599.0
32,8: East County,University,23.0
33,1: Downtown,University,15.0
33,2: Central,University,471.0
33,3: North City,University,772.0
33,4: South Suburban,University,251.0
33,5: East Suburban,University,372.0
33,6: North County West,University,296.0
33,7: North County East,University,310.0
33,8: East County,University,38.0
34,1: Downtown,University,15.0
34,2: Central,University,307.0
34,3: North City,University,657.0
34,4: South Suburban,University,135.0
34,5: East Suburban,University,563.0
34,6: North County West,University,342.0
34,7: North County East,University,640.0
34,8: East County,University,34.0
35,1: Downtown,University,24.0
35,2: Central,University,382.0
35,3: North City,University,1118.0
35,4: South Suburban,University,132.0
35,5: East Suburban,University,452.0
35,6: North County West,University,325.0
35,7: North County East,University,470.0
35,8: East County,University,58.0
36,1: Downtown,University,40.0
36,2: Central,University,391.0
36,3: North City,University,1164.0
36,4: South Suburban,University,268.0
36,5: East Suburban,University,469.0
36,6: North County West,University,551.0
36,7: North County East,University,565.0
36,8: East County,University,100.0
37,1: Downtown,University,20.0
37,2: Central,University,526.0
37,3: North City,University,985.0
37,4: South Suburban,University,208.0
37,5: East Suburban,University,1637.0
37,6: North County West,University,473.0
37,7: North County East,University,253.0
37,8: East County,University,93.0
38,1: Downtown,University,11.0
38,2: Central,University,563.0
38,3: North City,University,557.0
38,4: South Suburban,University,416.0
38,5: East Suburban,University,311.0
38,6: North County West,University,467.0
38,7: North County East,University,270.0
38,8: East County,University,50.0
39,1: Downtown,University,11.0
39,2: Central,University,542.0
39,3: North City,University,362.0
39,4: South Suburban,University,218.0
39,5: East Suburban,University,301.0
39,6: North County West,University,326.0
39,7: North County East,University,230.0
39,8: East County,University,144.0
40,1: Downtown,University,15.0
40,2: Central,University,415.0
40,3: North City,University,445.0
40,4: South Suburban,University,200.0
40,5: East Suburban,University,414.0
40,6: North County West,University,219.0
40,7: North County East,University,192.0
40,8: East County,University,29.0
41,1: Downtown,University,15.0
41,2: Central,University,207.0
41,3: North City,University,375.0
41,4: South Suburban,University,376.0
41,5: East Suburban,University,247.0
41,6: North County West,University,329.0
41,7: North County East,University,423.0
41,8: East County,University,49.0
42,1: Downtown,University,11.0
42,2: Central,University,401.0
42,3: North City,University,342.0
42,4: South Suburban,University,191.0
42,5: East Suburban,University,409.0
42,6: North County West,University,255.0
42,7: North County East,University,140.0
42,8: East County,University,38.0
43,1: Downtown,University,6.0
43,2: Central,University,339.0
43,3: North City,University,283.0
43,4: South Suburban,University,148.0
43,5: East Suburban,University,277.0
43,6: North County West,University,166.0
43,7: North County East,University,126.0
43,8: East County,University,67.0
44,1: Downtown,University,43.0
44,2: Central,University,206.0
44,3: North City,University,189.0
44,4: South Suburban,University,301.0
44,5: East Suburban,University,101.0
44,6: North County West,University,150.0
44,7: North County East,University,131.0
44,8: East County,University,34.0
45,1: Downtown,University,21.0
45,2: Central,University,198.0
45,3: North City,University,207.0
45,4: South Suburban,University,180.0
45,5: East Suburban,University,89.0
45,6: North County West,University,129.0
45,7: North County East,University,160.0
45,8: East County,University,11.0
46,1: Downtown,University,12.0
46,2: Central,University,223.0
46,3: North City,University,112.0
46,4: South Suburban,University,184.0
46,5: East Suburban,University,161.0
46,6: North County West,University,125.0
46,7: North County East,University,178.0
46,8: East County,University,6.0
47,1: Downtown,University,16.0
47,2: Central,University,199.0
47,3: North City,University,151.0
47,4: South Suburban,University,116.0
47,5: East Suburban,University,100.0
47,6: North County West,University,44.0
47,7: North County East,University,103.0
47,8: East County,University,13.0
48,1: Downtown,University,23.0
48,2: Central,University,153.0
48,3: North City,University,136.0
48,4: South Suburban,University,186.0
48,5: East Suburban,University,143.0
48,6: North County West,University,32.0
48,7: North County East,University,26.0
48,8: East County,University,8.0
49,1: Downtown,University,19.0
49,2: Central,University,265.0
49,3: North City,University,143.0
49,4: South Suburban,University,101.0
49,5: East Suburban,University,94.0
49,6: North County West,University,47.0
49,7: North County East,University,18.0
49,8: East County,University,13.0
50,1: Downtown,University,11.0
50,2: Central,University,136.0
50,3: North City,University,75.0
50,4: South Suburban,University,112.0
