Purpose,OutboundPeriod,ReturnPeriod,Percent
4,26,16,0
4,26,17,0
4,26,18,0
4,26,19,0
4,26,20,0
4,26,21,0
4,26,22,0
4,26,23,0
4,26,24,0
4,26,25,0
4,26,26,0.00634
4,26,27,0.01496
4,26,28,0.00495
4,26,29,0.00111
4,26,30,0.00299
4,26,31,0.0027
4,26,32,0.00064
4,26,33,0.00191
4,26,34,0.00005
4,26,35,0.00078
4,26,36,0
4,26,37,0
4,26,38,0
4,26,39,0
4,26,40,0
4,27,1,0
4,27,2,0
4,27,3,0
4,27,4,0
4,27,5,0
4,27,6,0
4,27,7,0
4,27,8,0
4,27,9,0
4,27,10,0
4,27,11,0
4,27,12,0
4,27,13,0
4,27,14,0
4,27,15,0
4,27,16,0
4,27,17,0
4,27,18,0
4,27,19,0
4,27,20,0
4,27,21,0
4,27,22,0
4,27,23,0
4,27,24,0
4,27,25,0
4,27,26,0
4,27,27,0.0047
4,27,28,0.01393
4,27,29,0.0026
4,27,30,0.00423
4,27,31,0.00072
4,27,32,0.00099
4,27,33,0.00094
4,27,34,0.00274
4,27,35,0.00071
4,27,36,0.00009
4,27,37,0
4,27,38,0
4,27,39,0.00013
4,27,40,0.00252
4,28,1,0
4,28,2,0
4,28,3,0
4,28,4,0
4,28,5,0
4,28,6,0
4,28,7,0
4,28,8,0
4,28,9,0
4,28,10,0
4,28,11,0
4,28,12,0
4,28,13,0
4,28,14,0
4,28,15,0
4,28,16,0
4,28,17,0
4,28,18,0
4,28,19,0
4,28,20,0
4,28,21,0
4,28,22,0
4,28,23,0
4,28,24,0
4,28,25,0
4,28,26,0
4,28,27,0
4,28,28,0.00657
4,28,29,0.01182
4,28,30,0.0082
4,28,31,0.00246
4,28,32,0.00078
4,28,33,0.00474
4,28,34,0.00041
4,28,35,0.00016
4,28,36,0.00111
4,28,37,0.00001
4,28,38,0.00058
4,28,39,0
4,28,40,0.00033
4,29,1,0
4,29,2,0
4,29,3,0
4,29,4,0
4,29,5,0
4,29,6,0
4,29,7,0
4,29,8,0
4,29,9,0
4,29,10,0
4,29,11,0
4,29,12,0
4,29,13,0
4,29,14,0
4,29,15,0
4,29,16,0
4,29,17,0
4,29,18,0
4,29,19,0
4,29,20,0
4,29,21,0
4,29,22,0
4,29,23,0
4,29,24,0
4,29,25,0
4,29,26,0
4,29,27,0
4,29,28,0
4,29,29,0.00053
4,29,30,0.01698
4,29,31,0.00161
4,29,32,0.00182
4,29,33,0.001
4,29,34,0.00008
4,29,35,0.00017
4,29,36,0.00001
4,29,37,0.00014
4,29,38,0
4,29,39,0
4,29,40,0.00163
4,30,1,0
4,30,2,0
4,30,3,0
4,30,4,0
4,30,5,0
4,30,6,0
4,30,7,0
4,30,8,0
4,30,9,0
4,30,10,0
4,30,11,0
4,30,12,0
4,30,13,0
4,30,14,0
4,30,15,0
4,30,16,0
4,30,17,0
4,30,18,0
4,30,19,0
4,30,20,0
4,30,21,0
4,30,22,0
4,30,23,0
4,30,24,0
4,30,25,0
4,30,26,0
4,30,27,0
4,30,28,0
4,30,29,0
4,30,30,0.005
4,30,31,0.00458
4,30,32,0.01227
4,30,33,0.00004
4,30,34,0.00017
4,30,35,0
4,30,36,0.0009
4,30,37,0.00003
4,30,38,0
4,30,39,0.00002
4,30,40,0
4,31,1,0
4,31,2,0
4,31,3,0
4,31,4,0
4,31,5,0
4,31,6,0
4,31,7,0
4,31,8,0
4,31,9,0
4,31,10,0
4,31,11,0
4,31,12,0
4,31,13,0
4,31,14,0
4,31,15,0
4,31,16,0
4,31,17,0
4,31,18,0
4,31,19,0
4,31,20,0
4,31,21,0
4,31,22,0
4,31,23,0
4,31,24,0
4,31,25,0
4,31,26,0
4,31,27,0
4,31,28,0
4,31,29,0
4,31,30,0
4,31,31,0.0021
4,31,32,0.00552
4,31,33,0.00603
4,31,34,0.00121
4,31,35,0.00047
4,31,36,0.00003
4,31,37,0
4,31,38,0
4,31,39,0
4,31,40,0
4,32,1,0
4,32,2,0
4,32,3,0
4,32,4,0
4,32,5,0
4,32,6,0
4,32,7,0
4,32,8,0
4,32,9,0
4,32,10,0
4,32,11,0
4,32,12,0
4,32,13,0
4,32,14,0
4,32,15,0
4,32,16,0
4,32,17,0
4,32,18,0
4,32,19,0
4,32,20,0
4,32,21,0
4,32,22,0
4,32,23,0
4,32,24,0
4,32,25,0
4,32,26,0
4,32,27,0
4,32,28,0
4,32,29,0
4,32,30,0
4,32,31,0
4,32,32,0.00071
4,32,33,0.00099
4,32,34,0.00122
4,32,35,0.00009
4,32,36,0.00004
4,32,37,0.00375
4,32,38,0
4,32,39,0
4,32,40,0
4,33,1,0
4,33,2,0
4,33,3,0
4,33,4,0
4,33,5,0
4,33,6,0
4,33,7,0
4,33,8,0
4,33,9,0
4,33,10,0
4,33,11,0
4,33,12,0
4,33,13,0
4,33,14,0
4,33,15,0
4,33,16,0
4,33,17,0
4,33,18,0
4,33,19,0
4,33,20,0
4,33,21,0
4,33,22,0
4,33,23,0
4,33,24,0
4,33,25,0
4,33,26,0
4,33,27,0
4,33,28,0
4,33,29,0
4,33,30,0
4,33,31,0
4,33,32,0
4,33,33,0.00032
4,33,34,0.00269
4,33,35,0.00125
4,33,36,0.00046
4,33,37,0
4,33,38,0.00004
4,33,39,0
4,33,40,0
4,34,1,0
4,34,2,0
4,34,3,0
4,34,4,0
4,34,5,0
4,34,6,0
4,34,7,0
4,34,8,0
4,34,9,0
4,34,10,0
4,34,11,0
4,34,12,0
4,34,13,0
4,34,14,0
4,34,15,0
4,34,16,0
4,34,17,0
4,34,18,0
4,34,19,0
4,34,20,0
4,34,21,0
4,34,22,0
4,34,23,0
4,34,24,0
4,34,25,0
4,34,26,0
4,34,27,0
4,34,28,0
4,34,29,0
4,34,30,0
4,34,31,0
4,34,32,0
4,34,33,0
4,34,34,0.00046
4,34,35,0.00077
4,34,36,0.00189
4,34,37,0.00086
4,34,38,0
4,34,39,0
4,34,40,0
4,35,1,0
4,35,2,0
4,35,3,0
4,35,4,0
4,35,5,0
4,35,6,0
4,35,7,0
4,35,8,0
4,35,9,0
4,35,10,0
4,35,11,0
4,35,12,0
4,35,13,0
4,35,14,0
4,35,15,0
4,35,16,0
4,35,17,0
4,35,18,0
4,35,19,0
4,35,20,0
4,35,21,0
4,35,22,0
4,35,23,0
4,35,24,0
4,35,25,0
4,35,26,0
4,35,27,0
4,35,28,0
4,35,29,0
4,35,30,0
4,35,31,0
4,35,32,0
4,35,33,0
4,35,34,0
4,35,35,0.00017
4,35,36,0.00099
4,35,37,0.00004
4,35,38,0.00009
4,35,39,0
4,35,40,0
4,36,1,0
