USER_Accou,Status,Score,Match_addr,LongLabel,ShortLabel,Subregion,Region,Postal,PostalExt,CntryName,X,Y,ExInfo,StrucType,StrucDet,IN_Neighbo,USER_Sleep,USER_Total,USER_Large,USER_Class,USER_Theat,USER_Banqu,USER_Numbe,USER_Mobil,USER_AAA_R,USER_TMD_A,MGRA,TAZ
Wyndham San Diego Bayside,M,96.90000000000,"1355 N Harbor Dr, San Diego, California, 92101","1355 N Harbor Dr, San Diego, CA, 92101, USA",1355 N Harbor Dr,San Diego County,California,92101,3321,United States,-117.17269549000,32.71900333590,DOWNTOWN,,,Downtown,600.00000000000,27187.00000000000,10384.00000000000,692.00000000000,1483.00000000000,692.00000000000,12.00000000000,3 Star,3 Diamond,Yes,8167,1595
San Diego Convention Center,,0.00000000000,"111 Harbor Dr, San Diego, CA 92101",San Diego Convention Center,San Diego Convention Center,,,92101,,USA,0.00000000000,0.00000000000,,,,,0.00000000000,2600000.00000000000,90000.00000000000,20000.00000000000,16936.00000000000,12640.00000000000,72.00000000000,,,,8582,1818
Marina Village Conference Center,,0.00000000000,"1936 Quivira Way, San Diego, CA 92109",,,San Diego County,CA,,,United States,0.00000000000,0.00000000000,,,,,0.00000000000,32609.00000000000,5880.00000000000,0.00000000000,0.00000000000,300.00000000000,13.00000000000,,,,8567,833
Liberty Station Conference Center,,0.00000000000,"2600 Laning Rd, San Diego, CA 92106",,,,,92106,,USA,0.00000000000,0.00000000000,,,,,0.00000000000,16945.00000000000,7700.00000000000,10.00000000000,0.00000000000,1.00000000000,11.00000000000,,,,24284,1168
Douglas F Manchester Executive Conference Center,,0.00000000000,"5998 Alcala Park Way, San Diego, CA 92110",,,,,,92110,,0.00000000000,0.00000000000,,,,,0.00000000000,15658.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,8872,1447
UC San Diego Park & Market,,0.00000000000,"1100 Market St, San Diego, CA 92101",,,San Diego County,California,92101,,United States,0.00000000000,0.00000000000,,,,,0.00000000000,66000.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,2768,2004
Gaylord Pacific Resort & Convention Center,,0.00000000000,"1000 H St, Chula Vista, CA 91910",,,,,,,,0.00000000000,0.00000000000,,,,,0.00000000000,0,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,10032,2687
Fowler Ballroom - SDSU,,0.00000000000,"5250 55th St, San Diego, CA 92182",,,,,,,,0.00000000000,0.00000000000,,,,,0.00000000000,7625.00000000000,4802.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,7562,3063
USU Ballroom - CSUSM,,0.00000000000,"595 Campus View Dr, San Marcos, CA 92069",,,,,,,,0.00000000000,0.00000000000,,,,,0.00000000000,10550.00000000000,9080.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,20261,2027
The Alexandria at Torrey Pines,,0.00000000000,"10996 Torreyana Rd, San Diego, CA 92121",,,,,,,,0.00000000000,0.00000000000,,,,,0.00000000000,12270.00000000000,4160.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,12779,838
"Park Hyatt Aviara Resort, Golf Club & Spa",,0.00000000000,"7100 Aviara Resort Drive, Carlsbad, CA 92011",,,,,,,,0.00000000000,0.00000000000,,,,,0.00000000000,16450.00000000000,11700.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,16033,334
Omni La Costa Resort & Spa,,0.00000000000,"2100 Costa Del Mar Rd, Carlsbad, CA 92009",,,,,,,,0.00000000000,0.00000000000,,,,,0.00000000000,71000.00000000000,18000.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,19254,488
The Westin Carlsbad Resort & Spa,,0.00000000000,"5480 Grand Pacific Dr, Carlsbad, CA 92008",,,,,,,,0.00000000000,0.00000000000,,,,,0.00000000000,71404.00000000000,8010.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,23018,204
Sheraton Carlsbad Resort & Spa,,0.00000000000,"5420 Grand Pacific Dr, Carlsbad, CA 92008",,,,,,,,0.00000000000,0.00000000000,,,,,0.00000000000,39303.00000000000,8711.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,23018,204
Grand Pacific Palisades Resort,,0.00000000000,"5805 Armada Dr, Carlsbad, CA 92008",,,,,,,,0.00000000000,0.00000000000,,,,,0.00000000000,10000.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,23064,192
JULEP Venue,,0.00000000000,"1735 Hancock St, San Diego, CA 92101",,,,,,,,0.00000000000,0.00000000000,,,,,0.00000000000,12000.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,11170,1502
Spark Studio Soundstage,,0.00000000000,,,,,,,,,0.00000000000,0.00000000000,,,,,0.00000000000,15000.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,13297,2146
The Centre Escondido,,0.00000000000,,,,,,,,,0.00000000000,0.00000000000,,,,,0.00000000000,15381.00000000000,3910.00000000000,0.00000000000,0.00000000000,0.00000000000,0.00000000000,,,,20634,2812
