TAZ,MGRA
1642,12659
1643,11606
1644,20176
1645,11445
1646,11873
1647,13409
1648,13413
1649,20244
1650,11813
1651,11537
1652,13604
1653,13496
1654,11480
1655,20254
1656,20259
1657,20565
1658,13632
1659,13417
1660,20183
1661,13419
1662,20154
1663,13445
1664,12799
1665,12660
1666,21081
1667,21084
1668,12801
1669,12813
1670,20307
1671,11877
1672,20457
1673,20458
1674,11884
1675,20189
1676,20191
1677,13572
1678,11420
1679,12662
1680,11424
1681,11464
1682,12796
1683,11902
1684,11423
1685,11832
1686,11767
1687,11769
1688,11889
1689,11761
1690,20161
1691,11903
1692,11563
1693,11906
1694,13452
1695,11883
1696,20525
1697,20149
1698,13571
1699,11431
1700,12819
1701,20555
1702,11913
1703,12823
1704,11428
1705,21463
1706,11342
1707,11349
1708,12507
1709,20159
1710,13162
1711,11433
1712,12482
1713,13424
1714,20622
1715,12697
1716,11916
1717,11435
1718,12496
1719,12483
1720,11891
1721,11587
1722,20560
1723,11742
1724,20162
1725,20540
1726,11943
1727,20097
1728,11932
1729,11893
1730,13284
1731,11894
1732,20566
1733,12481
1734,13266
1735,13280
1736,20166
1737,12522
1738,11679
1739,12699
1740,12491
1741,12553
1742,12494
1743,13124
1744,11675
1745,20573
1746,13169
1747,13159
1748,11716
1749,11746
1750,20596
1751,11588
1752,11684
1753,20169
1754,13293
1755,12502
1756,12439
1757,12477
1758,13352
1759,20583
1760,11751
1761,20171
1762,11988
1763,11972
1764,13174
1765,13137
1766,12615
1767,11974
1768,20092
1769,13191
1770,13213
1771,13330
1772,13331
1773,13214
1774,11686
1775,12005
1776,13194
1777,13314
1778,12527
1779,13218
1780,12602
1781,12604
1782,12495
1783,13182
1784,11962
1785,13178
1786,12540
1787,11574
1788,13325
1789,13369
1790,20590
1791,11339
1792,12605
1793,13212
1794,12589
1795,12664
1796,11720
1797,13239
1798,12567
1799,12018
1800,13240
1801,12445
1802,13186
1803,13302
1804,4432
1805,11705
1806,13252
1807,12537
1808,12597
1809,12663
1810,11719
1811,12595
1812,12014
1813,4417
1814,4550
1815,4378
1816,12084
1817,4424
1818,12582
1819,11707
1820,13079
1821,20640
1822,12610
1823,12086
1824,11472
1825,4574
1826,11673
1827,12450
1828,12577
1829,12587
1830,11360
1831,11396
1832,12160
1833,11366
1834,12129
1835,4422
1836,11297
1837,4577
1838,20699
1839,12617
1840,13085
1841,12100
1842,4434
1843,11371
1844,12056
1845,4563
1846,4588
1847,4440
1848,12088
1849,13083
1850,11413
1851,11967
1852,11368
1853,4437
1854,12133
1855,4585
1856,12619
1857,12074
1858,12456
1859,11951
1860,22673
1861,11969
1862,11473
1863,12146
1864,4431
1865,13111
1866,4407
1867,12621
1868,11329
1869,4580
1870,12091
1871,4427
1872,13065
1873,12168
1874,11379
1875,11376
1876,5235
1877,22682
1878,4400
1879,12031
1880,12134
1881,12057
1882,11475
1883,12469
1884,12076
1885,4581
1886,4606
1887,4610
1888,12459
1889,22685
1890,22691
1891,20094
1892,11312
1893,22693
1894,12025
1895,11409
1896,12059
1897,13117
1898,12156
1899,20641
1900,4382
1901,12093
1902,4404
1903,13099
1904,4409
1905,11474
1906,12172
1907,11476
1908,12147
1909,12061
1910,12020
1911,12148
1912,11380
1913,12078
1914,4613
1915,12039
1916,11382
1917,12150
1918,4484
1920,5231
1921,4475
1922,12120
1923,4441
1924,12050
1925,12331
1926,12333
1927,12318
1928,12335
1929,12364
1930,12366
1931,12360
1932,12043
1933,12334
1934,5220
1935,11340
1936,4447
1937,12470
1938,13105
1939,5221
1940,4386
1941,4387
1942,4450
1943,5225
1944,12066
1945,12123
1946,12034
1947,4448
1948,12320
1949,22668
1950,12341
1951,4490
1952,12174
1953,12044
1954,4393
1955,4449
1956,4362
1957,13073
1958,22688
1959,22656
1960,12069
1961,12179
1962,5211
1963,5227
1964,12346
1965,5212
1966,4469
1967,12186
1968,12210
1969,4370
1970,4498
1971,12348
1972,4496
