OwnershipCategory,tour_mode,purpose,freq
2: Vehicles >= Adults,03: Shared Ride 3+,3: School,78641
2: Vehicles >= Adults,03: Shared Ride 3+,2: University,5244
2: Vehicles >= Adults,03: Shared Ride 3+,1: Work,51704
2: Vehicles >= Adults,04: Walk,9: Work-based,77062
2: Vehicles >= Adults,04: Walk,6: Individual Discretionary,121191
2: Vehicles >= Adults,04: Walk,5: Individual Maintenance,83370
2: Vehicles >= Adults,04: Walk,8: Joint Discretionary,30184
2: Vehicles >= Adults,04: Walk,7: Joint Maintenance,30184
2: Vehicles >= Adults,04: Walk,3: School,27429
2: Vehicles >= Adults,04: Walk,2: University,3140
2: Vehicles >= Adults,04: Walk,1: Work,838
2: Vehicles >= Adults,05: Bike,9: Work-based,3442
2: Vehicles >= Adults,05: Bike,6: Individual Discretionary,6212
2: Vehicles >= Adults,05: Bike,5: Individual Maintenance,17406
2: Vehicles >= Adults,05: Bike,8: Joint Discretionary,114
2: Vehicles >= Adults,05: Bike,7: Joint Maintenance,114
2: Vehicles >= Adults,05: Bike,3: School,13194
2: Vehicles >= Adults,05: Bike,2: University,73
2: Vehicles >= Adults,05: Bike,1: Work,8430
2: Vehicles >= Adults,08: Walk to Transit,9: Work-based,0
2: Vehicles >= Adults,08: Walk to Transit,6: Individual Discretionary,10275
2: Vehicles >= Adults,08: Walk to Transit,5: Individual Maintenance,1324
2: Vehicles >= Adults,08: Walk to Transit,8: Joint Discretionary,0
2: Vehicles >= Adults,08: Walk to Transit,7: Joint Maintenance,0
2: Vehicles >= Adults,08: Walk to Transit,3: School,3748
2: Vehicles >= Adults,08: Walk to Transit,2: University,36
2: Vehicles >= Adults,08: Walk to Transit,1: Work,718
2: Vehicles >= Adults,09: PNR to Transit,9: Work-based,0
2: Vehicles >= Adults,09: PNR to Transit,6: Individual Discretionary,346
2: Vehicles >= Adults,09: PNR to Transit,5: Individual Maintenance,190
2: Vehicles >= Adults,09: PNR to Transit,8: Joint Discretionary,0
2: Vehicles >= Adults,09: PNR to Transit,7: Joint Maintenance,0
2: Vehicles >= Adults,09: PNR to Transit,3: School,0
2: Vehicles >= Adults,09: PNR to Transit,2: University,138
2: Vehicles >= Adults,09: PNR to Transit,1: Work,609
2: Vehicles >= Adults,10: KNR to Transit,9: Work-based,0
2: Vehicles >= Adults,10: KNR to Transit,6: Individual Discretionary,141
2: Vehicles >= Adults,10: KNR to Transit,5: Individual Maintenance,26
2: Vehicles >= Adults,10: KNR to Transit,8: Joint Discretionary,0
2: Vehicles >= Adults,10: KNR to Transit,7: Joint Maintenance,0
2: Vehicles >= Adults,10: KNR to Transit,3: School,0
2: Vehicles >= Adults,10: KNR to Transit,2: University,0
2: Vehicles >= Adults,10: KNR to Transit,1: Work,1655
2: Vehicles >= Adults,11: TNC to Transit,9: Work-based,0
2: Vehicles >= Adults,11: TNC to Transit,6: Individual Discretionary,0
2: Vehicles >= Adults,11: TNC to Transit,5: Individual Maintenance,0
2: Vehicles >= Adults,11: TNC to Transit,8: Joint Discretionary,0
2: Vehicles >= Adults,11: TNC to Transit,7: Joint Maintenance,0
2: Vehicles >= Adults,11: TNC to Transit,3: School,0
2: Vehicles >= Adults,11: TNC to Transit,2: University,0
2: Vehicles >= Adults,11: TNC to Transit,1: Work,0
2: Vehicles >= Adults,12: Taxi,9: Work-based,0
2: Vehicles >= Adults,12: Taxi,6: Individual Discretionary,0
2: Vehicles >= Adults,12: Taxi,5: Individual Maintenance,0
2: Vehicles >= Adults,12: Taxi,8: Joint Discretionary,0
2: Vehicles >= Adults,12: Taxi,7: Joint Maintenance,0
2: Vehicles >= Adults,12: Taxi,3: School,0
2: Vehicles >= Adults,12: Taxi,2: University,0
2: Vehicles >= Adults,12: Taxi,1: Work,0
2: Vehicles >= Adults,13: TNC Single,9: Work-based,0
2: Vehicles >= Adults,13: TNC Single,6: Individual Discretionary,193
2: Vehicles >= Adults,13: TNC Single,5: Individual Maintenance,2301
2: Vehicles >= Adults,13: TNC Single,8: Joint Discretionary,0
2: Vehicles >= Adults,13: TNC Single,7: Joint Maintenance,0
2: Vehicles >= Adults,13: TNC Single,3: School,0
2: Vehicles >= Adults,13: TNC Single,2: University,0
2: Vehicles >= Adults,13: TNC Single,1: Work,38
2: Vehicles >= Adults,14: TNC Shared,9: Work-based,0
2: Vehicles >= Adults,14: TNC Shared,6: Individual Discretionary,0
2: Vehicles >= Adults,14: TNC Shared,5: Individual Maintenance,0
2: Vehicles >= Adults,14: TNC Shared,8: Joint Discretionary,0
2: Vehicles >= Adults,14: TNC Shared,7: Joint Maintenance,0
2: Vehicles >= Adults,14: TNC Shared,3: School,0
2: Vehicles >= Adults,14: TNC Shared,2: University,0
2: Vehicles >= Adults,14: TNC Shared,1: Work,0
2: Vehicles >= Adults,15: School Bus,9: Work-based,0
2: Vehicles >= Adults,15: School Bus,6: Individual Discretionary,0
2: Vehicles >= Adults,15: School Bus,5: Individual Maintenance,0
2: Vehicles >= Adults,15: School Bus,8: Joint Discretionary,0
2: Vehicles >= Adults,15: School Bus,7: Joint Maintenance,0
2: Vehicles >= Adults,15: School Bus,3: School,369
2: Vehicles >= Adults,15: School Bus,2: University,0
2: Vehicles >= Adults,15: School Bus,1: Work,0
2: Vehicles >= Adults,07: E-Scooter,9: Work-based,0
2: Vehicles >= Adults,07: E-Scooter,6: Individual Discretionary,107
2: Vehicles >= Adults,07: E-Scooter,5: Individual Maintenance,0
2: Vehicles >= Adults,07: E-Scooter,8: Joint Discretionary,0
2: Vehicles >= Adults,07: E-Scooter,7: Joint Maintenance,0
2: Vehicles >= Adults,07: E-Scooter,3: School,0
2: Vehicles >= Adults,07: E-Scooter,2: University,0
2: Vehicles >= Adults,07: E-Scooter,1: Work,0
2: Vehicles >= Adults,06: E-Bike,9: Work-based,553
2: Vehicles >= Adults,06: E-Bike,6: Individual Discretionary,436
2: Vehicles >= Adults,06: E-Bike,5: Individual Maintenance,1618
2: Vehicles >= Adults,06: E-Bike,8: Joint Discretionary,221
2: Vehicles >= Adults,06: E-Bike,7: Joint Maintenance,221
2: Vehicles >= Adults,06: E-Bike,3: School,197
2: Vehicles >= Adults,06: E-Bike,2: University,0
2: Vehicles >= Adults,06: E-Bike,1: Work,234
